code,kr-name
UMU500,(금강)폐수배출시설 설치제한지역
UMU600,(금강)폐기물매립시설 설치제한지역
UMU999,(금강)수계수변구역기타
UMV000,(낙동강)수계수변구역미분류
UMV100,(낙동강)수변구역
UMV200,(낙동강)상수원보호구역
UMV300,(낙동강)오염행위 제한지역
UMV400,(낙동강)건축 등 허가제한지역
UMV500,(낙동강)폐수배출시설 설치제한지역
UMV600,(낙동강)폐기물매립시설 설치제한지역
UMV999,(낙동강)수계수변구역기타
UMW000,(영산강·섬진강)수계수변구역미분류
UMW100,(영산강·섬진강)수변구역
UMW200,(영산강·섬진강)상수원보호구역
UMW300,(영산강·섬진강)오염행위 제한지역
UMW400,(영산강·섬진강)건축 등 허가제한지역
UMW500,(영산강·섬진강)폐수배출시설 설치제한지역
UMW600,(영산강·섬진강)폐기물매립시설 설치제한지역
UMW999,(영산강·섬진강)수계수변구역기타
UMX000,수도권대기환경개선대기관리권역미분류
UMX100,대기관리권역
UMX999,수도권대기환경개선대기관리권역기타
UMY000,미분류
UMY100,해양보호구역
UMY110,해양생물보호구역
UMY120,해양생태계보호구역
UMY130,해양경관보호구역
UMY200,긴급해양보호구역
UMY300,시·도해양보호구역
UMY310,시·도해양생물보호구역
UMY320,시·도해양생태계보호구역
UMY330,시·도해양경관보호구역
UMY999,기타
UMZ000,가축사육제한구역미분류
UMZ100,가축사육제한구역
UMZ999,가축사육제한구역기타
UND000,군용전기통신미분류
UND200,수저통신선로보호구역
UND999,군용전기통신기타
UNE000,군사기지 및 군사시설미분류
UNE100,군사기지 및 군사시설 보호구역
UNE110,통제보호구역
UNE111,통제보호구역(민통선이북 : 10km)
UNE112,통제보호구역(민통선이남 : 300m)
UNE113,통제보호구역(방공기지 : 500m)
UNE114,통제보호구역(해군기지)
UNE120,제한보호구역
UNE121,제한보호구역(전방지역 : 25km)
UNE122,제한보호구역(후방지역 : 500m)
UNE123,제한보호구역(폭발물관련 : 1km)
UNE124,제한보호구역(전술항공 : 5km)
UNE125,제한보호구역(지원/헬기 : 2km)
UNE126,제한보호구역(전기통신 : 2km)
UNE127,제한보호구역(해군기지)
UNE128,제한보호구역(수역)
UNE129,제한보호구역(방공기지 : 1km)
UNE200,대공방어협조구역
UNE201,대공방어협조구역(위탁고도 : 54-236m)
UNE300,민간인통제선
UNE400,비행안전구역
UNE410,전술항공작전기지
UNE411,비행안전제1구역(전술)
UNE412,비행안전제2구역(전술)
UNE413,비행안전제3구역(전술)
UNE414,비행안전제4구역(전술)
UNE415,비행안전제5구역(전술)
UNE416,비행안전제6구역(전술)
UNE420,지원항공작전기지
UNE421,비행안전제1구역(지원)
UNE422,비행안전제2구역(지원)
UNE423,비행안전제3구역(지원)
UNE424,비행안전제4구역(지원)
UNE425,비행안전제5구역(지원)
UNE430,헬기전용작전기지
UNE431,비행안전제1구역(헬기)
UNE432,비행안전제2구역(헬기)
UNE433,비행안전제3구역(헬기)
UNE440,비상활주로
UNE441,비행안전제1구역(비상)
UNE442,비행안전제2구역(비상)
UNE443,비행안전제3구역(비상)
UNE999,군사기지 및 군사시설기타
UNZ000,군사기타용도지역지구미분류
UNZ100,군사기타용도지역지구용도지역지구
UNZ999,군사기타용도지역지구기타
UOA000,교육환경보호구역미분류
UOA100,교육환경보호구역
UOA110,절대보호구역
UOA120,상대보호구역
UOA999,교육환경보호구역기타
